epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.828125,0.6729106903076172,,
0,99,0.890625,0.44726231694221497,,
0,149,0.859375,0.545199990272522,,
0,199,0.90625,0.3571203351020813,,
0,249,0.84375,0.5188730359077454,,
0,299,0.953125,0.3266334533691406,,
0,349,0.875,0.5540642142295837,,
0,399,0.921875,0.3867797553539276,,
0,449,0.90625,0.3525921106338501,,
0,499,0.9375,0.29029595851898193,,
0,549,0.84375,0.44327226281166077,,
0,599,0.890625,0.38870301842689514,,
0,649,0.90625,0.3458668887615204,,
0,699,0.96875,0.1296924352645874,,
0,749,0.9375,0.25472795963287354,,
0,799,0.90625,0.23722867667675018,,
0,849,0.90625,0.3132399916648865,,
0,899,0.90625,0.500950276851654,,
0,936,,,0.9130609035491943,0.30749785900115967
1,949,0.875,0.3315620422363281,,
1,999,0.921875,0.3417968451976776,,
1,1049,0.921875,0.22374208271503448,,
1,1099,0.875,0.30868205428123474,,
1,1149,0.921875,0.19725282490253448,,
1,1199,0.890625,0.38556087017059326,,
1,1249,0.96875,0.14544086158275604,,
1,1299,0.953125,0.21515661478042603,,
1,1349,0.9375,0.2265426069498062,,
1,1399,0.953125,0.2149253934621811,,
1,1449,0.890625,0.36695125699043274,,
1,1499,0.875,0.6514170169830322,,
1,1549,0.875,0.2833036482334137,,
1,1599,0.9375,0.3411494791507721,,
1,1649,0.9375,0.2394544929265976,,
1,1699,0.90625,0.21728022396564484,,
1,1749,0.921875,0.2078668773174286,,
1,1799,0.890625,0.35557180643081665,,
1,1849,0.875,0.4312678575515747,,
1,1873,,,0.9191706776618958,0.29287731647491455
2,1899,0.875,0.3369334638118744,,
2,1949,0.9375,0.29177677631378174,,
2,1999,0.875,0.48098301887512207,,
2,2049,0.875,0.5999140739440918,,
2,2099,0.96875,0.14056512713432312,,
2,2149,0.9375,0.25425082445144653,,
2,2199,0.953125,0.23303969204425812,,
2,2249,0.890625,0.32066038250923157,,
2,2299,0.953125,0.17583289742469788,,
2,2349,0.875,0.4300270080566406,,
2,2399,0.921875,0.19641965627670288,,
2,2449,0.953125,0.18281066417694092,,
2,2499,0.875,0.3222163915634155,,
2,2549,0.90625,0.2426268309354782,,
2,2599,0.90625,0.33799684047698975,,
2,2649,0.90625,0.2425156682729721,,
2,2699,0.84375,0.48318201303482056,,
2,2749,0.921875,0.2253667414188385,,
2,2799,0.921875,0.2059672623872757,,
2,2810,,,0.9219751358032227,0.2832687199115753
3,2849,0.90625,0.2309597134590149,,
3,2899,0.9375,0.2825433015823364,,
3,2949,0.953125,0.2513035237789154,,
3,2999,0.96875,0.2266254425048828,,
3,3049,0.953125,0.16139830648899078,,
3,3099,0.953125,0.25251317024230957,,
3,3149,0.984375,0.08964833617210388,,
3,3199,0.890625,0.3086058497428894,,
3,3249,0.90625,0.2417672574520111,,
3,3299,0.953125,0.22559218108654022,,
3,3349,0.890625,0.23030729591846466,,
3,3399,0.921875,0.20396173000335693,,
3,3449,0.890625,0.3161458969116211,,
3,3499,0.890625,0.6162110567092896,,
3,3549,0.953125,0.24399727582931519,,
3,3599,0.890625,0.4920096695423126,,
3,3649,0.90625,0.35292643308639526,,
3,3699,0.90625,0.4194610118865967,,
3,3747,,,0.9184695482254028,0.28152891993522644
4,3749,0.890625,0.2938113510608673,,
4,3799,0.90625,0.24824561178684235,,
4,3849,0.9375,0.1983008235692978,,
4,3899,0.953125,0.17996424436569214,,
4,3949,0.90625,0.3368064761161804,,
4,3999,0.921875,0.19896908104419708,,
4,4049,0.875,0.3817775249481201,,
4,4099,0.921875,0.2880711257457733,,
4,4149,0.921875,0.29258444905281067,,
4,4199,1.0,0.09608551859855652,,
4,4249,0.890625,0.24641664326190948,,
4,4299,0.9375,0.261211633682251,,
4,4349,0.96875,0.1674094945192337,,
4,4399,0.890625,0.4475546181201935,,
4,4449,0.96875,0.15822553634643555,,
4,4499,0.96875,0.15551990270614624,,
4,4549,0.9375,0.2896433174610138,,
4,4599,0.96875,0.12245804816484451,,
4,4649,0.90625,0.296709269285202,,
4,4684,,,0.9206730723381042,0.27689123153686523
